	source	target	is_correct	logmap	logmap_exp	logmap-lt	aml	sanom	sanom_wordnet	ontoconnect	logmap-ml_owl2vec_star_label	logmap-ml_owl2vec_star_path	logmap-ml_word2vec_label	logmap-ml_word2vec_path	bertmap-us_200	bertmap-us_25	lxlhmeta	ljlevolutionary	baseline
265	parallel programming languages 	parallel programming	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
266	requirements analysis; specification techniques	software requirements	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
267	software analysis for verifying properties of programs using formal methods, e.g. model checking, abstract interpretation 	formal verifications	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
268	requirements analysis; specification techniques	requirements engineering	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
269	software debugging by tracing the execution of the program	execution trace	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
270	arrangements for software engineering	software	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
271	software reuse	computer software reusability	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
272	functional or applicative languages; rewrite languages	functional programs	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
273	object-oriented languages	object oriented programming	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
274	software analysis for verifying properties of programs using formal methods, e.g. model checking, abstract interpretation 	formal verification	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
275	requirements analysis; specification techniques	requirement engineering	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
276	software debugging by tracing the execution of the program	execution traces	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
277	software analysis for verifying properties of programs by runtime analysis 	run-time verification	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
278	transformation of program code	program translators	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
279	semantic checking	static analysis	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
280	reverse engineering; extracting design information from source code	architecture recovery	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
281	programming languages or programming paradigms	computer programming languages	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
282	encoding	program translators	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
283	structural analysis for program understanding	static analyzers	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
284	software analysis for verifying properties of programs using software metrics	software metrics	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
285	creation or generation of source code model driven	model-driven development	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
286	data distribution	data parallelism	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
287	creation or generation of source code model driven	model driven development	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
288	software analysis for verifying properties of programs by runtime analysis 	dynamic analysis	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
289	functional or applicative languages; rewrite languages	functional programming	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
290	creation or generation of source code model driven	model driven architecture	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
291	creation or generation of source code model driven	mde	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
292	object-oriented	object oriented design	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
293	semantic checking	static program analysis	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
294	creation or generation of source code model driven	model driven engineering	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
295	requirements analysis; specification techniques	requirements specification	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
296	aspect-oriented programming techniques	aspect oriented software development	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
297	object-oriented	object-oriented design	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
298	object-oriented languages	object-oriented programming languages	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
299	software analysis for verifying properties of programs by runtime analysis 	runtime verification	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
300	type checking	type systems	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
301	logic programming, e.g. prolog programming language	logic programming	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
302	reverse engineering; extracting design information from source code	architecture reconstruction	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
303	software testing 	debugging	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
304	software testing 	testing and debugging	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
305	transformation of program code	program compilers	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
